"Weight set: ","[0.0, 0.0, 1.0, 0.0]"
"kegg","intpathway","LCS","Normalized LCS","Gene Agreement","GenePair Agreement","Score"
"adenine_ribonucleotide_biosynthesis,_imp_=>_adp,atp","purine_metabolism","11","0.263","0.256","0.006","0.006"
"aminoacyl-trna_biosynthesis,_eukaryotes","purine_metabolism","9","0.211","0.737","0.131","0.131"
"apc/c_complex","purine_metabolism","4","0.079","0.381","0.017","0.017"
"assimilatory_sulfate_reduction,_sulfate_=>_h2s","purine_metabolism","8","0.184","0.168","0.002","0.002"
"beta-oxidation,_acyl-coa_synthesis","purine_metabolism","7","0.158","0.137","0.001","0.001"
"c1-unit_interconversion,_eukaryotes","purine_metabolism","9","0.211","0.137","0.001","0.001"
"c10-c20_isoprenoid_biosynthesis,_non-plant_eukaryotes","purine_metabolism","10","0.237","0.105","0.001","0.001"
"c5_isoprenoid_biosynthesis,_mevalonate_pathway","purine_metabolism","10","0.237","0.256","0.006","0.006"
"camp_signaling","purine_metabolism","6","0.132","0.199","0.003","0.003"
"cap_binding_complex","purine_metabolism","6","0.132","0.071","0.000","0.000"
"cell_cycle_-_g1/s_transition","purine_metabolism","6","0.132","0.199","0.003","0.003"
"cell_cycle_-_g2/m_transition","purine_metabolism","6","0.132","0.199","0.003","0.003"
"citrate_cycle,_first_carbon_oxidation,_oxaloacetate_=>_2-oxoglutarate","purine_metabolism","9","0.211","0.283","0.008","0.008"
"citrate_cycle,_second_carbon_oxidation,_2-oxoglutarate_=>_oxaloacetate","purine_metabolism","8","0.184","0.467","0.030","0.030"
"citrate_cycle_(tca_cycle,_krebs_cycle)","purine_metabolism","8","0.184","0.618","0.070","0.070"
"coenzyme_a_biosynthesis,_pantothenate_=>_coa","purine_metabolism","8","0.184","0.168","0.002","0.002"
"copii_complex","purine_metabolism","5","0.105","0.168","0.002","0.002"
"cysteine_biosynthesis,_homocysteine_+_serine_=>_cysteine","purine_metabolism","9","0.211","0.071","0.000","0.000"
"cytochrome_bc1_complex","purine_metabolism","6","0.132","0.381","0.017","0.017"
"cytochrome_bc1_complex_respiratory_unit","purine_metabolism","8","0.184","0.199","0.003","0.003"
"decapping_complex","purine_metabolism","6","0.132","0.168","0.002","0.002"
"dna_damage-induced_cell_cycle_checkpoints","purine_metabolism","8","0.184","0.168","0.002","0.002"
"dna_polymerase_alpha_/_primase_complex","purine_metabolism","9","0.211","0.137","0.001","0.001"
"dna_polymerase_epsilon_complex","purine_metabolism","7","0.158","0.168","0.002","0.002"
"dna_polymerase_zeta  complex","purine_metabolism","9","0.211","0.071","0.000","0.000"
"eif4f_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"ergocalciferol_biosynthesis","purine_metabolism","8","0.184","0.168","0.002","0.002"
"escrt-0_complex","purine_metabolism","4","0.079","0.071","0.000","0.000"
"escrt-ii_complex","purine_metabolism","5","0.105","0.105","0.001","0.001"
"escrt-iii_complex","purine_metabolism","5","0.105","0.256","0.006","0.006"
"exosome,_archaea","purine_metabolism","4","0.079","0.137","0.001","0.001"
"exosome,_eukaryotes","purine_metabolism","6","0.132","0.309","0.010","0.010"
"f-type_atpase,_eukaryotes","purine_metabolism","7","0.158","0.467","0.030","0.030"
"fatty_acid_biosynthesis,_elongation","purine_metabolism","7","0.158","0.105","0.001","0.001"
"fatty_acid_biosynthesis,_elongation,_endoplasmic_reticulum","purine_metabolism","10","0.237","0.199","0.003","0.003"
"fatty_acid_biosynthesis,_initiation","purine_metabolism","7","0.158","0.168","0.002","0.002"
"gaba_(gamma-aminobutyrate)_shunt","purine_metabolism","5","0.105","0.105","0.001","0.001"
"galactose_degradation,_leloir_pathway,_galactose_=>_alpha-d-glucose-1p","purine_metabolism","10","0.237","0.137","0.001","0.001"
"gins_complex","purine_metabolism","5","0.105","0.137","0.001","0.001"
"gluconeogenesis,_oxaloacetate_=>_fructose-6p","purine_metabolism","9","0.211","0.486","0.034","0.034"
"glycolysis,_core_module_involving_three-carbon_compounds","purine_metabolism","10","0.237","0.467","0.030","0.030"
"glycolysis_(embden-meyerhof_pathway),_glucose_=>_pyruvate","purine_metabolism","8","0.184","0.618","0.070","0.070"
"glyoxylate_cycle","purine_metabolism","3","0.053","0.334","0.012","0.012"
"gpi-anchor_biosynthesis,_core_oligosaccharide","purine_metabolism","11","0.263","0.256","0.006","0.006"
"guanine_ribonucleotide_biosynthesis_imp_=>_gdp,gtp","purine_metabolism","12","0.289","0.256","0.006","0.006"
"h/aca_ribonucleoprotein_complex","purine_metabolism","7","0.158","0.137","0.001","0.001"
"histidine_biosynthesis,_prpp_=>_histidine","purine_metabolism","8","0.184","0.228","0.005","0.005"
"holo-tfiih_complex","purine_metabolism","4","0.079","0.309","0.010","0.010"
"inosine_monophosphate_biosynthesis,_prpp_+_glutamine_=>_imp","purine_metabolism","11","0.263","0.283","0.008","0.008"
"isoleucine_biosynthesis,_threonine_=>_2-oxobutanoate_=>_isoleucine","purine_metabolism","11","0.263","0.256","0.006","0.006"
"leucine_biosynthesis,_2-oxoisovalerate_=>_2-oxoisocaproate","purine_metabolism","10","0.237","0.137","0.001","0.001"
"lsm_1-7_complex","purine_metabolism","3","0.053","0.228","0.005","0.005"
"lsm_2-8_complex","purine_metabolism","3","0.053","0.228","0.005","0.005"
"lysine_biosynthesis,_2-oxoglutarate_=>_2-oxoadipate","purine_metabolism","9","0.211","0.168","0.002","0.002"
"lysine_biosynthesis,_aaa_pathway,_2-oxoglutarate_=>_2-aminoadipate_=>_lysine","purine_metabolism","11","0.263","0.283","0.008","0.008"
"mcm_complex","purine_metabolism","3","0.053","0.199","0.003","0.003"
"methionine_salvage_pathway","purine_metabolism","7","0.158","0.309","0.010","0.010"
"mrx_complex","purine_metabolism","4","0.079","0.105","0.001","0.001"
"n-glycan_biosynthesis,_high-mannose_type","purine_metabolism","8","0.184","0.334","0.012","0.012"
"n-glycan_precursor_biosynthesis","purine_metabolism","8","0.184","0.381","0.017","0.017"
"n-glycan_precursor_trimming","purine_metabolism","7","0.158","0.137","0.001","0.001"
"n-glycosylation_by_oligosaccharyltransferase","purine_metabolism","8","0.184","0.283","0.008","0.008"
"nucleotide_sugar_biosynthesis,_galactose_=>_udp-galactose","purine_metabolism","10","0.237","0.105","0.001","0.001"
"nucleotide_sugar_biosynthesis,_glucose_=>_udp-glucose","purine_metabolism","9","0.211","0.334","0.012","0.012"
"origin_recognition_complex","purine_metabolism","8","0.184","0.199","0.003","0.003"
"ornithine_biosynthesis,_glutamate_=>_ornithine","purine_metabolism","10","0.237","0.137","0.001","0.001"
"p97-ufd1-npl4_complex","purine_metabolism","6","0.132","0.105","0.001","0.001"
"pentose_phosphate_pathway,_non-oxidative_phase,_fructose_6p_=>_ribose_5p","purine_metabolism","10","0.237","0.199","0.003","0.003"
"pentose_phosphate_pathway,_oxidative_phase,_glucose_6p_=>_ribulose_5p","purine_metabolism","11","0.263","0.228","0.005","0.005"
"pentose_phosphate_pathway_(pentose_phosphate_cycle)","purine_metabolism","9","0.211","0.404","0.020","0.020"
"phenylalanine_biosynthesis,_chorismate_=>_phenylalanine","purine_metabolism","10","0.237","0.105","0.001","0.001"
"phosphatidylcholine_(pc)_biosynthesis,_choline_=>_pc","purine_metabolism","9","0.211","0.105","0.001","0.001"
"phosphatidylcholine_(pc)_biosynthesis,_pe_=>_pc","purine_metabolism","9","0.211","0.071","0.000","0.000"
"phosphatidylethanolamine_(pe)_biosynthesis,_ethanolamine_=>_pe","purine_metabolism","11","0.263","0.105","0.001","0.001"
"phosphatidylethanolamine_(pe)_biosynthesis,_pa_=>_ps_=>_pe","purine_metabolism","10","0.237","0.137","0.001","0.001"
"polyamine_biosynthesis,_arginine_=>_ornithine_=>_putrescine","purine_metabolism","10","0.237","0.071","0.000","0.000"
"proline_biosynthesis,_glutamate_=>_proline","purine_metabolism","12","0.289","0.137","0.001","0.001"
"proteasome,_19s_regulatory_particle_(pa700)","purine_metabolism","8","0.184","0.505","0.037","0.037"
"proteasome,_20s_core_particle","purine_metabolism","7","0.158","0.404","0.020","0.020"
"prpp_biosynthesis,_ribose_5p_=>_prpp","purine_metabolism","9","0.211","0.168","0.002","0.002"
"pyrimidine_ribonucleotide_biosynthesis,_ump_=>_udp/utp,cdp/ctp","purine_metabolism","13","0.316","0.137","0.001","0.001"
"pyruvate_oxidation,_pyruvate_=>_acetyl-coa","purine_metabolism","9","0.211","0.168","0.002","0.002"
"rf-c_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"ribosome,_eukaryotes","purine_metabolism","8","0.184","0.995","0.883","0.883"
"rna_polymerase_i,_eukaryotes","purine_metabolism","8","0.184","0.404","0.020","0.020"
"rna_polymerase_ii,_eukaryotes","purine_metabolism","8","0.184","0.358","0.015","0.015"
"rna_polymerase_iii,_eukaryotes","purine_metabolism","8","0.184","0.446","0.026","0.026"
"scf-cdc4_complex","purine_metabolism","3","0.053","0.137","0.001","0.001"
"scf-grr1_complex","purine_metabolism","4","0.079","0.137","0.001","0.001"
"scf-met30_complex","purine_metabolism","5","0.105","0.137","0.001","0.001"
"sec61_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"serine_biosynthesis,_glycerate-3p_=>_serine","purine_metabolism","9","0.211","0.137","0.001","0.001"
"shikimate_pathway,_phosphoenolpyruvate_+_erythrose-4p_=>_chorismate","purine_metabolism","10","0.237","0.137","0.001","0.001"
"ski_complex","purine_metabolism","4","0.079","0.105","0.001","0.001"
"sln1-ypd1-ssk1/skn7_(osmosensing)_two-component_regulatory_system","purine_metabolism","11","0.263","0.137","0.001","0.001"
"sm_core_complex","purine_metabolism","5","0.105","0.228","0.005","0.005"
"sphingosine_degradation","purine_metabolism","8","0.184","0.105","0.001","0.001"
"spliceosome,_u1-snrnp","purine_metabolism","6","0.132","0.283","0.008","0.008"
"succinate_dehydrogenase_(ubiquinone)","purine_metabolism","9","0.211","0.228","0.005","0.005"
"tetrahydrofolate_biosynthesis,_gtp_=>_thf","purine_metabolism","7","0.158","0.228","0.005","0.005"
"threonine_biosynthesis,_aspartate_=>_homoserine_=>_threonine","purine_metabolism","10","0.237","0.168","0.002","0.002"
"tramp_complex","purine_metabolism","4","0.079","0.168","0.002","0.002"
"tryptophan_biosynthesis,_chorismate_=>_tryptophan","purine_metabolism","9","0.211","0.168","0.002","0.002"
"ubiquinone_biosynthesis,_eukaryotes,_4-hydroxybenzoate_=>_ubiquinone","purine_metabolism","10","0.237","0.168","0.002","0.002"
"uridine_monophosphate_biosynthesis,_glutamine_(+_prpp)_=>_ump","purine_metabolism","13","0.316","0.256","0.006","0.006"
"valine/isoleucine_biosynthesis,_pyruvate_=>_valine_/_2-oxobutanoate_=>_isoleucine","purine_metabolism","12","0.289","0.199","0.003","0.003"
